Pays,Joueur 1,Joueur 2,Joueur 3,Joueur 4,Joueur 5,Journaliste,Agence
Afrique du Sud,Messi,Van Dijk,Cristiano Ronaldo,Mané,De Bruyne,Mark Gleeson,Reuters
Algérie,Mané,Messi,Mahrez,Van Dijk,Agüero,Yazid Ouahib,El-Watan
Angola,Van Dijk,Cristiano Ronaldo,Messi,Salah,Mané,Mateus Gonçalves,Radio Lac
Bénin,Mané,Alisson,Van Dijk,Cristiano Ronaldo,Messi,Abdoul Fatayi Sanni,Le Matin
Botswana,,,,,,,
Burkina Faso,Mané,Messi,Cristiano Ronaldo,Hazard,Mbappé,Victorien Marie Hien,RTB
Burundi,Messi,Mané,Cristiano Ronaldo,Mbappé,Van Dijk,Désiré Hatungimana,Voa Afrique
Cameroun,Van Dijk,Salah,Mané,Alisson,Alexander-Arnold,Gustave Samnick,L’actu-Sport
Cap-Vert,Messi,Cristiano Ronaldo,Van Dijk,Mané,Sterling,Simao Rodrigues,Inforpress
République centrafricaine,Mané,Cristiano Ronaldo,Mbappé,Messi,Bernardo Silva,Bienvenue Gbelo,Radio Ndeke Luka
Comores,,,,,,,
République du Congo,Van Dijk,Mané,Salah,Messi,Cristiano Ronaldo,James Golden éloué,Les Dépêches de Brazzaville
République démocratique du Congo,Mané,Van Dijk,Messi,Salah,Cristiano Ronaldo,Patrick Kasonde,Mwangaza TV
Côte d’Ivoire,Alisson,Mané,Mahrez,Van Dijk,Mbappé,Adam Khalil,Sport-Ivoire.ci
Djibouti,Mané,Messi,Salah,Van Dijk,Cristiano Ronaldo,Nasser Omar,Radio Télévision de Djibouti
Égypte,Salah,Mané,Cristiano Ronaldo,Messi,Van Dijk,Inas Mazhar,Al-Ahram Weekly
Érythrée,Van Dijk,Mbappé,Messi,Mané,Aubameyang,Michael Seium,Eri-internationalsports.org
Eswatini,Van Dijk,Mané,Messi,Salah,Bernardo Silva,Kenneth Dlamini,The Swazi Observer
Éthiopie,Van Dijk,Messi,Cristiano Ronaldo,Salah,Mané,Mensur Abdulkeni,Ethiosport
Gabon,Mané,Messi,Cristiano Ronaldo,Van Dijk,Mbappé,James Angelo Loundou,L’Union
Gambie,Mané,Messi,Cristiano Ronaldo,Van Dijk,Salah,Momodou Bah,Freelance
Ghana,Messi,Van Dijk,Cristiano Ronaldo,Mané,Sterling,Michael Oti Adjei,Freelance
Guinée,Mané,Van Dijk,Salah,Cristiano Ronaldo,Messi,Ibrahima Diallo,AfrikInfo TV
Guinée-Bissau,Messi,Cristiano Ronaldo,Mané,Bernardo Silva,Van Dijk,Saosinha Costa,Freelance
Guinée équatoriale,Messi,De Bruyne,Salah,Mané,Lewandowski,Benjamin Esono,Eseng Ayecaba
Kenya,Van Dijk,Messi,Cristiano Ronaldo,Sterling,Mahrez,Charles Nyende,Daily Nation
Lesotho,,,,,,,
Liberia,Cristiano Ronaldo,Mané,Salah,Messi,Alisson,Anthony Kokoi,Daily Observer
Libye,Messi,Cristiano Ronaldo,Mané,Agüero,Hazard,Ahmed Edaera,The Lybian Observer
Madagascar,Salah,Messi,Mané,Cristiano Ronaldo,De Jong,Clément Rabary,Midi Madagasikara
Malawi,Messi,Cristiano Ronaldo,Van Dijk,Mané,Sterling,Peter Kanjere,Sports Writers Association of Malawi
Mali,,,,,,,
Maroc,Messi,Mané,Cristiano Ronaldo,Mahrez,Mbappé,Mostafa Badri,Almountakhad
Maurice,Van Dijk,Mané,Messi,De Bruyne,Mbappé,Azmaal Hydoo,Express Sport et Lékip
Mauritanie,Van Dijk,Mané,Cristiano Ronaldo,De Bruyne,Messi,Hachim el-Yamani,Le Quotidien de Nouakchott
Mozambique,Messi,Mbappé,Salah,Griezmann,Cristiano Ronaldo,Alexandre Zandamela,Noticias
Namibie,Messi,Mané,Alisson,Salah,Van Dijk,Sheefeni Nikodemus,The Namibian
Niger,Mané,Messi,Van Dijk,Salah,Cristiano Ronaldo,Abdel Malik Koudize,Sport227.com
Nigeria,Messi,Van Dijk,Cristiano Ronaldo,Mbappé,Mané,Samm Audu,Scorenigeria:com
Ouganda,Van Dijk,Cristiano Ronaldo,Mané,Messi,Salah,Fredrick Musisi Kiyingi,Daily Monitor
Rwanda,Messi,Mané,Van Dijk,Cristiano Ronaldo,Salah,Samuel Imanishimwe,Kigali Today
São Tomé-et-Principe,Messi,Cristiano Ronaldo,Mané,Bernardo Silva,Hazard,Brany Cunha,www.reporterstp.com
Sénégal,Mané,Messi,Salah,Koulibaly,Van Dijk,Aliou Goloko,Allafrica
Seychelles,Messi,Van Dijk,Cristiano Ronaldo,Mané,Salah,Gérard Govinden,Seychelles Nation
Sierra Leone,Messi,Van Dijk,Mané,Cristiano Ronaldo,Salah,Mohamed Fajah Barrie,Freelance
Somalie,,,,,,,
Soudan,Messi,Van Dijk,Mané,Salah,Cristiano Ronaldo,Muzamil Abu Elgassim,Al-Sadda
Soudan du Sud,Van Dijk,Mané,Salah,Messi,Cristiano Ronaldo,John Kayanga,Power Goals Page
Tanzanie,Van Dijk,Salah,Mané,Firmino,Messi,Tunu Hassan,Efm Radio
Tchad,Cristiano Ronaldo,Mbappé,Messi,Mané,Salah,Nesta Yamgoto,tchadinfos.com
Togo,Van Dijk,Cristiano Ronaldo,Lloris,Messi,Mané,Mathias Ayena,Radio Lomé
Tunisie,Messi,Van Dijk,Cristiano Ronaldo,Salah,Mahrez,Abdesslam Dhaifallah,Radio Mosaïque FM
Zambie,Van Dijk,Cristiano Ronaldo,Mané,Messi,Sterling,Mathews Kabamba,Zambia Daily Mail
Zimbabwe,Mané,Van Dijk,Bernardo Silva,Salah,Messi,Charles Mabika,ZBC TV